CodeElement, SuspiciousScore
org.apache.commons.math.util.MathUtils#gcd(int,int):430, 1.56891217890236
org.apache.commons.math.util.MathUtils#gcd(int,int):431, 1.56891217890236
org.apache.commons.math.util.MathUtils#gcd(int,int):432, 1.56891217890236
org.apache.commons.math.util.MathUtils#gcd(int,int):450, 1.5685557418583504
org.apache.commons.math.util.MathUtils#gcd(int,int):446, 1.568444985851425
org.apache.commons.math.util.MathUtils#gcd(int,int):412, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):413, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):420, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):421, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):423, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):424, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):427, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):428, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):434, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):439, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):445, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):449, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):452, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):455, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):458, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):459, 1.568204419561549
org.apache.commons.math.util.MathUtils#gcd(int,int):435, 1.56673
