CodeElement, SuspiciousScore
org.apache.commons.lang.text.StrBuilder#deleteImpl(int,int,int):1114, 2.47457
org.apache.commons.lang.text.StrBuilder#deleteImpl(int,int,int):1115, 2.47457
org.apache.commons.lang.text.StrBuilder#deleteImpl(int,int,int):1116, 2.47457
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):474, 1.8334325048082403
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):475, 1.8334325048082403
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):476, 1.8334325048082403
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):477, 1.8334325048082403
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):469, 1.8334284766908853
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):472, 1.8334284766908853
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):473, 1.8334284766908853
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):479, 1.8334284766908853
org.apache.commons.lang.text.StrBuilder#append(java.lang.String):470, 1.8325
org.apache.commons.lang.text.StrBuilder#contains(char):1672, 1.6627710678118655
org.apache.commons.lang.text.StrBuilder#contains(char):1673, 1.6627710678118655
org.apache.commons.lang.text.StrBuilder#contains(char):1674, 1.6627710678118655
org.apache.commons.lang.text.StrBuilder#contains(char):1675, 1.6627710678118655
org.apache.commons.lang.text.StrBuilder#contains(char):1678, 1.6557
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1761, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1762, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1765, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1766, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1769, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1772, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1775, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1776, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1778, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1779, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1780, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1781, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1784, 1.5929022776601682
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1763, 1.58974
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1767, 1.58974
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1770, 1.58974
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1773, 1.58974
org.apache.commons.lang.text.StrBuilder#indexOf(java.lang.String,int):1786, 1.58974
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1202, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1203, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1204, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1205, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1206, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#deleteFirst(java.lang.String):1209, 1.1341335026918964
org.apache.commons.lang.text.StrBuilder#length():182, 0.409035492851663
org.apache.commons.lang.text.StrBuilder#ensureCapacity(int):228, 0.409035492851663
org.apache.commons.lang.text.StrBuilder#ensureCapacity(int):233, 0.409035492851663
org.apache.commons.lang.text.StrBuilder#ensureCapacity(int):229, 0.408273
org.apache.commons.lang.text.StrBuilder#ensureCapacity(int):230, 0.408273
org.apache.commons.lang.text.StrBuilder#ensureCapacity(int):231, 0.408273
