CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.joda.time.base.AbstractPartial:getField:105, 548, 0, 3748, 1
org.joda.time.DateTimeZone:setDefault:179, 2845, 1, 3748, 1
org.joda.time.DateTimeZone:setDefault:180, 2845, 1, 3748, 1
org.joda.time.DateTimeZone:setDefault:181, 2845, 1, 3748, 1
org.joda.time.DateTimeZone:getDefault:159, 3100, 1, 3748, 1
org.joda.time.chrono.AssembledChronology:year:268, 1215, 0, 3748, 1
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:416, 2689, 1, 3748, 1
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:414, 2689, 1, 3748, 1
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:415, 2689, 1, 3748, 1
org.joda.time.chrono.BuddhistChronology:getInstanceUTC:84, 10, 0, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisSystem:68, 2692, 1, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisSystem:69, 2692, 1, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisSystem:70, 2692, 1, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisFixed:84, 2689, 1, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisFixed:83, 2689, 1, 3748, 1
org.joda.time.DateTimeUtils:setCurrentMillisFixed:82, 2689, 1, 3748, 1
org.joda.time.DateTimeZone:getDefault:131, 3100, 1, 3748, 1
org.joda.time.DateTimeZone:getDefault:132, 3100, 1, 3748, 1
org.joda.time.DateTimeZone:setDefault:173, 2845, 1, 3748, 1
org.joda.time.DateTimeZone:setDefault:172, 2845, 1, 3748, 1
org.joda.time.base.AbstractPartial:<init>:55, 1204, 0, 3748, 1
org.joda.time.base.AbstractPartial:<init>:54, 1204, 0, 3748, 1
org.joda.time.DateTimeZone:setDefault:182, 2845, 1, 3748, 1
org.joda.time.DateTimeZone:setDefault:176, 2845, 1, 3748, 1
org.joda.time.chrono.AssembledChronology:monthOfYear:260, 1272, 0, 3748, 1
org.joda.time.DateTimeUtils:checkPermission:129, 2692, 1, 3748, 1
org.joda.time.DateTimeUtils:checkPermission:130, 2692, 1, 3748, 1
org.joda.time.DateTimeUtils:checkPermission:133, 2692, 1, 3748, 1
org.joda.time.DateTimeFieldType:year:326, 1383, 0, 3748, 1
org.joda.time.base.AbstractPartial:getFieldType:79, 128, 0, 3748, 1
org.joda.time.DateTimeFieldType:monthOfYear:317, 1374, 0, 3748, 1
org.joda.time.field.BaseDateTimeField:getType:58, 442, 0, 3748, 1
org.joda.time.base.AbstractPartial:getFieldTypes:92, 4, 0, 3748, 1
org.joda.time.base.AbstractPartial:getFieldTypes:91, 4, 0, 3748, 1
