CodeElement, SuspiciousScore
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):745, 5.5458611613513815
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):740, 5.545224532357065
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):741, 5.545224532357065
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):738, 5.545213064328597
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):739, 5.545213064328597
com.google.javascript.jscomp.CodeGenerator#isSimpleNumber(java.lang.String):742, 5.5439
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):290, 5.461133989873053
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):291, 5.461133989873053
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):292, 5.461133989873053
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):295, 5.461133989873053
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):296, 5.461133989873053
com.google.javascript.jscomp.parsing.IRFactory#transformNumberAsString(com.google.javascript.jscomp.mozilla.rhino.ast.NumberLiteral):293, 5.45949
com.google.javascript.jscomp.parsing.IRFactory#getStringValue(double):300, 5.436023989873053
com.google.javascript.jscomp.parsing.IRFactory#getStringValue(double):303, 5.436023989873053
com.google.javascript.jscomp.parsing.IRFactory#getStringValue(double):304, 5.436023989873053
com.google.javascript.jscomp.parsing.IRFactory#getStringValue(double):306, 5.43438
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):752, 5.098975144140571
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):753, 5.098975144140571
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):751, 5.09893124145232
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):749, 5.098203064328597
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):757, 5.09689
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):755, 5.09689
com.google.javascript.jscomp.CodeGenerator#getSimpleNumber(java.lang.String):759, 5.09689
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):676, 5.040514157338706
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):674, 5.03958082763488
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):675, 5.03958082763488
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):661, 5.038816549986271
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):662, 5.038816549986271
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):665, 5.038816549986271
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):681, 5.038816549986271
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):682, 5.038816549986271
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):654, 5.038779892510956
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):658, 5.038779892510956
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):648, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):649, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):652, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):653, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):685, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):686, 5.038591390676354
com.google.javascript.jscomp.CodeGenerator#add(com.google.javascript.rhino.Node,com.google.javascript.jscomp.CodeGenerator.Context):226, 5.03847189636093
