CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.apache.commons.math.MessagesResources_fr:<clinit>:37, 1, 0, 1070, 6
org.apache.commons.math.MathException:getMessage:226, 16, 0, 1070, 6
org.apache.commons.math.MathException:translate:91, 14, 0, 1070, 6
org.apache.commons.math.MathException:translate:89, 14, 0, 1070, 6
org.apache.commons.math.MessagesResources_fr:<init>:31, 1, 0, 1070, 6
org.apache.commons.math.MessagesResources_fr:<init>:30, 1, 0, 1070, 6
org.apache.commons.math.MessagesResources_fr:getContents:34, 1, 0, 1070, 6
org.apache.commons.math.ArgumentOutsideDomainException:<init>:33, 2, 0, 1070, 6
org.apache.commons.math.ArgumentOutsideDomainException:<init>:36, 2, 0, 1070, 6
org.apache.commons.math.MathException:translate:85, 52, 0, 1070, 6
org.apache.commons.math.MathException:translate:100, 53, 0, 1070, 6
org.apache.commons.math.MathException:translate:83, 53, 0, 1070, 6
org.apache.commons.math.MathException:buildMessage:115, 53, 0, 1070, 6
org.apache.commons.math.MathException:buildMessage:114, 53, 0, 1070, 6
org.apache.commons.math.MathException:buildMessage:113, 53, 0, 1070, 6
org.apache.commons.math.MathException:translate:94, 53, 0, 1070, 6
org.apache.commons.math.MathException:getCause:235, 26, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:50, 1, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:49, 1, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:47, 1, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:53, 1, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:69, 3, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:70, 3, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:71, 3, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:33, 8, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:57, 1, 0, 1070, 6
org.apache.commons.math.MathException:<clinit>:54, 1, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:getArgument:119, 2, 0, 1070, 6
org.apache.commons.math.MathException:<init>:152, 47, 0, 1070, 6
org.apache.commons.math.MathException:<init>:153, 47, 0, 1070, 6
org.apache.commons.math.MathException:<init>:154, 47, 0, 1070, 6
org.apache.commons.math.MathException:<init>:155, 47, 0, 1070, 6
org.apache.commons.math.MathException:<init>:151, 47, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:34, 1, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:35, 1, 0, 1070, 6
org.apache.commons.math.MathException:getPattern:208, 9, 0, 1070, 6
org.apache.commons.math.MathException:getArguments:216, 10, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:44, 7, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:45, 7, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:64, 1, 0, 1070, 6
org.apache.commons.math.ConvergenceException:<init>:63, 1, 0, 1070, 6
org.apache.commons.math.MathException:<init>:197, 8, 0, 1070, 6
org.apache.commons.math.MathException:<init>:199, 8, 0, 1070, 6
org.apache.commons.math.MathException:<init>:198, 8, 0, 1070, 6
org.apache.commons.math.MathException:<init>:201, 8, 0, 1070, 6
org.apache.commons.math.MathException:<init>:200, 8, 0, 1070, 6
org.apache.commons.math.DuplicateSampleAbscissaException:<init>:35, 3, 0, 1070, 6
org.apache.commons.math.DuplicateSampleAbscissaException:<init>:37, 3, 0, 1070, 6
org.apache.commons.math.DuplicateSampleAbscissaException:getDuplicateAbscissa:44, 1, 0, 1070, 6
org.apache.commons.math.MathException:<init>:165, 15, 0, 1070, 6
org.apache.commons.math.MathException:<init>:169, 15, 0, 1070, 6
org.apache.commons.math.MathException:<init>:168, 15, 0, 1070, 6
org.apache.commons.math.MathException:<init>:167, 15, 0, 1070, 6
org.apache.commons.math.MathException:<init>:166, 15, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:95, 1, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:94, 1, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:96, 1, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:110, 2, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:111, 2, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:109, 2, 0, 1070, 6
org.apache.commons.math.MathConfigurationException:<init>:53, 3, 0, 1070, 6
org.apache.commons.math.MathConfigurationException:<init>:52, 3, 0, 1070, 6
org.apache.commons.math.MathConfigurationException:<init>:81, 1, 0, 1070, 6
org.apache.commons.math.MathConfigurationException:<init>:82, 1, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:getMaxIterations:58, 2, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:51, 1, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:50, 1, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:52, 1, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:38, 3, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:39, 3, 0, 1070, 6
org.apache.commons.math.MaxIterationsExceededException:<init>:36, 3, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:133, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:117, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:isStrictlyIncreasing:217, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:110, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:111, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:115, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:114, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:113, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:112, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:138, 4, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:derivative:154, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:143, 4, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:113, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:112, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:polynomialDerivative:152, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:polynomialSplineDerivative:167, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:isStrictlyIncreasing:222, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:118, 13, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:137, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:136, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:101, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:polynomialSplineDerivative:163, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:polynomialSplineDerivative:164, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:146, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:136, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:141, 4, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:140, 4, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:120, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:134, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:isStrictlyIncreasing:218, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:<init>:56, 16, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:<init>:55, 16, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:<init>:59, 16, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:<init>:61, 16, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:<init>:60, 16, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:value:143, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:evaluate:116, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:133, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:132, 5, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:78, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:72, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:96, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:97, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:<init>:105, 6, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialSplineFunction:polynomialSplineDerivative:165, 1, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:value:74, 14, 0, 1070, 6
org.apache.commons.math.analysis.PolynomialFunction:differentiate:139, 4, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:42, 2, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:44, 2, 0, 1070, 6
org.apache.commons.math.FunctionEvaluationException:<init>:45, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:271, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:257, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:255, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:256, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:252, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:253, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:251, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:272, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:267, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:266, 2, 0, 1070, 6
org.apache.commons.math.MathException:printStackTrace:265, 2, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:110, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:111, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:109, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:108, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:106, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:107, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:115, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:interpolate:70, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:interpolate:71, 3, 0, 1070, 6
org.apache.commons.math.analysis.DividedDifferenceInterpolator:computeDividedDifference:102, 3, 0, 1070, 6
