CodeElement, SuspiciousScore
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNameRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1405, 3.08661
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNameRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1408, 3.08661
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNameRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1410, 3.08661
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNameRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1406, 3.07661
org.apache.commons.lang3.time.FastDateFormat#format(long):696, 3.08661
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1457, 2.8794696447300923
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1443, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1445, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1446, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1447, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1452, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1453, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1454, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1456, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1460, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1461, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1462, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1463, 2.8792255339059327
org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule#appendTo(java.lang.StringBuffer,java.util.Calendar):1449, 2.87569
org.apache.commons.lang3.time.FastDateFormat#parsePattern():492, 2.74634
org.apache.commons.lang3.time.FastDateFormat#parsePattern():493, 2.74634
org.apache.commons.lang3.time.FastDateFormat#parsePattern():556, 2.74634
org.apache.commons.lang3.time.FastDateFormat#parsePattern():555, 2.7434110678118655
org.apache.commons.lang3.time.FastDateFormat#parsePattern():558, 2.7434110678118655
org.apache.commons.lang3.time.FastDateFormat#parsePattern():560, 2.7434110678118655
org.apache.commons.lang3.time.FastDateFormat#parsePattern():498, 2.7421135026918964
org.apache.commons.lang3.time.FastDateFormat#parsePattern():500, 2.7421135026918964
org.apache.commons.lang3.time.FastDateFormat#parsePattern():503, 2.7421135026918964
org.apache.commons.lang3.time.FastDateFormat#parsePattern():546, 2.7421135026918964
org.apache.commons.lang3.time.FastDateFormat#parsePattern():547, 2.7421135026918964
org.apache.commons.lang3.time.FastDateFormat#parsePattern():509, 2.7408121359549997
org.apache.commons.lang3.time.FastDateFormat#parsePattern():511, 2.7408121359549997
org.apache.commons.lang3.time.FastDateFormat#parsePattern():534, 2.7404224829046386
org.apache.commons.lang3.time.FastDateFormat#parsePattern():535, 2.7404224829046386
org.apache.commons.lang3.time.FastDateFormat#parsePattern():505, 2.7380549858514254
org.apache.commons.lang3.time.FastDateFormat#parsePattern():562, 2.7380549858514254
org.apache.commons.lang3.time.FastDateFormat#parsePattern():563, 2.7380549858514254
org.apache.commons.lang3.time.FastDateFormat#parsePattern():565, 2.7380549858514254
org.apache.commons.lang3.time.FastDateFormat#parsePattern():567, 2.7380549858514254
org.apache.commons.lang3.time.FastDateFormat#parsePattern():519, 2.7380066666666667
org.apache.commons.lang3.time.FastDateFormat#parsePattern():520, 2.7380066666666667
org.apache.commons.lang3.time.FastDateFormat#parsePattern():525, 2.7380066666666667
org.apache.commons.lang3.time.FastDateFormat#parsePattern():526, 2.7380066666666667
org.apache.commons.lang3.time.FastDateFormat#parsePattern():522, 2.7379839898730536
org.apache.commons.lang3.time.FastDateFormat#parsePattern():523, 2.7379839898730536
org.apache.commons.lang3.time.FastDateFormat#parsePattern():531, 2.7379839898730536
org.apache.commons.lang3.time.FastDateFormat#parsePattern():532, 2.7379839898730536
org.apache.commons.lang3.time.FastDateFormat#parsePattern():513, 2.737883033499621
org.apache.commons.lang3.time.FastDateFormat#parsePattern():514, 2.737883033499621
org.apache.commons.lang3.time.FastDateFormat#parsePattern():507, 2.737847556722889
org.apache.commons.lang3.time.FastDateFormat#parsePattern():504, 2.737830711985
org.apache.commons.lang3.time.FastDateFormat#parsePattern():506, 2.737830711985
org.apache.commons.lang3.time.FastDateFormat#parsePattern():496, 2.7378144195615493
org.apache.commons.lang3.time.FastDateFormat#parsePattern():495, 2.7377986499149793
org.apache.commons.lang3.time.FastDateFormat#parsePattern():502, 2.7377986499149793
org.apache.commons.lang3.time.FastDateFormat#parsePattern():571, 2.7377986499149793
org.apache.commons.lang3.time.FastDateFormat#parsePattern():464, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():465, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():467, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():468, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():469, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():470, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():471, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():472, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():474, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():475, 2.7377833756729744
org.apache.commons.lang3.time.FastDateFormat#parsePattern():477, 2.7377833756729744
