CodeElement, SuspiciousScore
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):543, 3.2210010678118652
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):546, 3.2210010678118652
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):547, 3.2210010678118652
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):548, 3.2210010678118652
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):549, 3.2210010678118652
org.apache.commons.lang.time.DateUtils#truncate(java.util.Date,int):544, 3.21393
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):620, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):641, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):642, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):643, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):644, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):646, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):663, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):667, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):668, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):670, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):700, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):701, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):702, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):704, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):706, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):709, 3.2053821359549994
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):621, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):647, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):651, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):652, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):654, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):655, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):660, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):672, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):676, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):679, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):680, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):683, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):684, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):688, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):691, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):692, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):693, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):695, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):696, 3.20091
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):711, 3.20091
