CodeElement, SuspiciousScore
org.apache.commons.math.complex.Complex#equals(java.lang.Object):258, 8.587915741858351
org.apache.commons.math.complex.Complex#equals(java.lang.Object):255, 8.587830776559558
org.apache.commons.math.complex.Complex#equals(java.lang.Object):263, 8.587830776559558
org.apache.commons.math.complex.Complex#equals(java.lang.Object):254, 8.587804985851426
org.apache.commons.math.complex.Complex#equals(java.lang.Object):250, 8.587780308509457
org.apache.commons.math.complex.Complex#equals(java.lang.Object):248, 8.587712214211308
org.apache.commons.math.complex.Complex#equals(java.lang.Object):266, 8.587712214211308
org.apache.commons.math.complex.Complex#equals(java.lang.Object):249, 8.58609
org.apache.commons.math.complex.Complex#equals(java.lang.Object):251, 8.58609
org.apache.commons.math.complex.Complex#equals(java.lang.Object):256, 8.58609
org.apache.commons.math.complex.Complex#equals(java.lang.Object):260, 8.58609
org.apache.commons.math.complex.Complex#equals(java.lang.Object):262, 8.58609
org.apache.commons.math.complex.Complex#hashCode():277, 8.524441067811866
org.apache.commons.math.complex.Complex#hashCode():280, 8.524441067811866
org.apache.commons.math.complex.Complex#hashCode():278, 8.51737
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):363, 7.6868760679775
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):358, 7.68668124145232
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):355, 7.686465741858351
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):356, 7.68464
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):361, 7.68464
org.apache.commons.math.complex.Complex#isNaN():310, 7.1036691579957525
org.apache.commons.math.complex.Complex#createComplex(double,double):872, 7.0947700012700015
org.apache.commons.math.complex.Complex#getReal():299, 6.841848476690885
