CodeElement, SuspiciousScore
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):324, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):325, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):326, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):327, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):330, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):331, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):332, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):333, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):337, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):338, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):339, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):340, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):341, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):342, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):344, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):346, 4.018542277660169
org.apache.commons.math.ode.MultistepIntegrator.NordsieckInitializer#handleStep(org.apache.commons.math.ode.sampling.StepInterpolator,boolean):349, 4.018542277660169
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):309, 3.778541067811865
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):310, 3.778541067811865
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):311, 3.778541067811865
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):290, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):291, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):296, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):297, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):299, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):356, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):357, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):358, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):359, 3.777243502691896
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):236, 3.7764699999999998
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):237, 3.7764699999999998
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):239, 3.7764699999999998
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):240, 3.7764699999999998
