CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.mockito.internal.progress.MockingProgressImpl:validateState:83, 802, 2, 802, 2
org.mockito.internal.progress.MockingProgressImpl:validateState:82, 802, 2, 802, 2
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:17, 459, 1, 802, 2
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:16, 459, 1, 802, 2
org.mockito.internal.progress.ThreadSafeMockingProgress:pullVerificationMode:38, 453, 1, 802, 2
org.mockito.internal.util.MockUtil:createMock:43, 607, 2, 802, 2
org.mockito.internal.progress.ThreadSafeMockingProgress:validateState:46, 802, 2, 802, 2
org.mockito.internal.progress.ThreadSafeMockingProgress:validateState:47, 802, 2, 802, 2
org.mockito.internal.invocation.ArgumentsComparator:<init>:9, 372, 1, 802, 2
org.mockito.internal.util.MockUtil:createMock:35, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:39, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:36, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:37, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:42, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:40, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:41, 607, 2, 802, 2
org.mockito.internal.verification.VerificationDataImpl:<init>:19, 260, 0, 802, 2
org.mockito.internal.verification.VerificationDataImpl:<init>:18, 260, 0, 802, 2
org.mockito.internal.verification.VerificationDataImpl:<init>:21, 260, 0, 802, 2
org.mockito.internal.verification.VerificationDataImpl:<init>:20, 260, 0, 802, 2
org.mockito.internal.invocation.Invocation:isVoid:174, 451, 1, 802, 2
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:40, 259, 0, 802, 2
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:41, 259, 0, 802, 2
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:38, 259, 0, 802, 2
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:39, 259, 0, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:51, 588, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:50, 588, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:53, 588, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:52, 588, 2, 802, 2
org.mockito.internal.util.Primitives:isPrimitiveWrapper:14, 284, 1, 802, 2
org.mockito.internal.debugging.Location:<init>:26, 576, 2, 802, 2
org.mockito.internal.creation.jmock.ClassImposterizer:canImposterise:44, 609, 2, 802, 2
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:19, 352, 1, 802, 2
org.mockito.internal.util.CreationValidator:validateExtraInterfaces:21, 591, 2, 802, 2
org.mockito.internal.debugging.Location:<init>:28, 577, 2, 802, 2
org.mockito.internal.util.CreationValidator:validateExtraInterfaces:20, 607, 2, 802, 2
org.mockito.internal.util.MockUtil:<init>:32, 286, 0, 802, 2
org.mockito.internal.util.MockUtil:<init>:31, 286, 0, 802, 2
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:17, 459, 1, 802, 2
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:16, 459, 1, 802, 2
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:15, 459, 1, 802, 2
org.mockito.internal.verification.VerificationModeFactory:atLeastOnce:12, 41, 0, 802, 2
org.mockito.internal.stubbing.answers.CallsRealMethods:<init>:30, 12, 0, 802, 2
org.mockito.configuration.DefaultMockitoConfiguration:getDefaultAnswer:32, 383, 1, 802, 2
org.mockito.internal.util.MockUtil:<init>:27, 292, 0, 802, 2
org.mockito.internal.util.MockUtil:<init>:26, 292, 0, 802, 2
org.mockito.internal.util.MockUtil:<init>:28, 292, 0, 802, 2
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:16, 372, 1, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:33, 588, 2, 802, 2
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:24, 323, 1, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:39, 586, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:38, 586, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:37, 586, 2, 802, 2
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:21, 460, 1, 802, 2
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:20, 460, 1, 802, 2
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:22, 460, 1, 802, 2
org.mockito.internal.verification.AtLeast:verify:36, 10, 0, 802, 2
org.mockito.internal.creation.cglib.CGLIBHacker:<init>:11, 605, 2, 802, 2
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:17, 459, 1, 802, 2
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:18, 459, 1, 802, 2
org.mockito.internal.verification.AtLeast:verify:35, 13, 0, 802, 2
org.mockito.internal.verification.AtLeast:verify:32, 13, 0, 802, 2
org.mockito.internal.verification.AtLeast:verify:33, 13, 0, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:35, 587, 2, 802, 2
org.mockito.internal.progress.ThreadSafeMockingProgress:reportOngoingStubbing:27, 436, 1, 802, 2
org.mockito.internal.progress.ThreadSafeMockingProgress:reportOngoingStubbing:26, 436, 1, 802, 2
org.mockito.internal.verification.AtLeast:<init>:29, 46, 0, 802, 2
org.mockito.internal.verification.AtLeast:<init>:28, 46, 0, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:47, 582, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:52, 605, 2, 802, 2
org.mockito.internal.creation.jmock.ClassImposterizer$3:filterConstructors:73, 61, 0, 802, 2
org.mockito.internal.progress.MockingProgressImpl:validateState:68, 802, 2, 802, 2
org.mockito.internal.progress.MockingProgressImpl:validateState:70, 802, 2, 802, 2
org.mockito.internal.verification.AtLeast:verify:38, 11, 0, 802, 2
org.mockito.internal.verification.AtLeast:verify:39, 11, 0, 802, 2
org.mockito.internal.configuration.DefaultAnnotationEngine:createMockFor:27, 271, 0, 802, 2
org.mockito.internal.invocation.InvocationMatcher:hasSameMethod:87, 368, 1, 802, 2
org.mockito.internal.util.MockUtil:createMock:48, 605, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:46, 605, 2, 802, 2
org.mockito.internal.util.MockUtil:createMock:44, 605, 2, 802, 2
org.mockito.internal.progress.MockingProgressImpl:validateState:76, 802, 2, 802, 2
org.mockito.internal.exceptions.base.StackTraceFilter:filter:44, 588, 2, 802, 2
