CodeElement, SuspiciousScore
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):437, 3.3867535026918962
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):440, 3.3867535026918962
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):441, 3.3867535026918962
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):442, 3.3867535026918962
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):443, 3.3867535026918962
org.apache.commons.lang.time.DateUtils#round(java.util.Date,int):438, 3.38098
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):676, 2.3863010678118655
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):689, 2.3863010678118655
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):621, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):625, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):635, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):636, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):637, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):640, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):641, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):649, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):650, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):658, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):659, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):660, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):664, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):665, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):666, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):670, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):671, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):672, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):673, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):675, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):692, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):696, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):697, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):699, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):729, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):730, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):731, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):733, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):735, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):738, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):739, 2.3833124829046386
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):622, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):626, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):642, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):643, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):644, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):651, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):652, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):653, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):680, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):681, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):683, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):684, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):701, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):705, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):708, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):709, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):712, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):713, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):717, 2.37923
org.apache.commons.lang.time.DateUtils#modify(java.util.Calendar,int,boolean):720, 2.37923
